City,Date,AQI,PM10,PM2_5,NO2,NO,SO2,CO,O3
Ahmedabad,2015-02-11,388.0,122.41,66.52,23.8,10.05,66.58,6.34,53.14
Ahmedabad,2015-02-12,288.0,122.41,65.04,30.1,10.05,65.91,14.19,31.88
Ahmedabad,2015-02-13,510.0,122.41,103.36,39.56,10.05,80.43,18.18,40.11
Ahmedabad,2015-02-14,761.0,122.41,177.33,47.58,10.05,99.72,37.49,36.47
Ahmedabad,2015-02-15,475.0,122.41,113.25,30.5,10.05,69.71,15.55,33.78
Ahmedabad,2015-02-16,536.0,122.41,99.7,28.1,10.05,73.23,19.85,30.57
Ahmedabad,2015-02-17,479.0,122.41,80.61,21.04,10.05,54.7,15.96,36.2
Ahmedabad,2015-02-18,592.0,122.41,100.79,25.93,10.05,43.11,16.24,37.43
Ahmedabad,2015-02-19,427.0,122.41,107.99,30.09,10.05,84.86,11.25,31.94
Ahmedabad,2015-02-20,588.0,122.41,140.29,36.14,10.05,101.53,33.84,40.98
Ahmedabad,2015-02-21,1141.0,122.41,239.96,46.25,10.05,84.87,61.95,33.55
Ahmedabad,2015-02-22,669.0,122.41,142.96,48.21,10.05,62.96,45.45,34.77
Ahmedabad,2015-02-23,1247.0,122.41,238.41,55.07,10.05,89.07,77.7,37.3
Ahmedabad,2015-02-24,411.0,122.41,118.72,32.01,10.05,61.54,12.56,38.8
Ahmedabad,2015-02-25,292.0,122.41,52.99,10.45,10.05,32.76,2.23,67.25
Ahmedabad,2015-03-14,234.0,122.41,83.92,25.03,10.05,67.53,6.42,34.94
Ahmedabad,2015-03-15,219.0,122.41,49.51,14.16,10.05,48.33,3.1,37.95
Ahmedabad,2015-03-16,118.0,122.41,30.76,14.14,10.05,43.62,2.72,54.78
Ahmedabad,2015-03-17,231.0,122.41,50.29,29.84,10.05,59.23,5.34,45.44
Ahmedabad,2015-03-18,286.0,122.41,57.69,29.48,10.05,58.33,25.36,52.87
Ahmedabad,2015-03-19,883.0,122.41,105.06,37.05,10.05,53.62,46.24,45.65
Ahmedabad,2015-03-20,720.0,122.41,94.1,36.53,10.05,61.31,22.14,46.77
Ahmedabad,2015-03-21,570.0,122.41,111.89,43.29,10.05,66.44,22.25,50.57
Ahmedabad,2015-03-22,589.0,122.41,108.59,39.34,10.05,75.8,25.38,46.68
Ahmedabad,2015-03-23,818.0,122.41,130.76,41.03,10.05,65.77,45.61,41.58
Ahmedabad,2015-03-24,737.0,122.41,143.55,31.15,10.05,50.98,27.3,35.38
Ahmedabad,2015-03-25,585.0,122.41,165.07,34.48,10.05,64.32,23.83,43.79
Ahmedabad,2015-03-26,616.0,122.41,166.85,43.3,10.05,79.71,17.93,53.44
Ahmedabad,2015-03-27,437.0,122.41,147.38,35.82,10.05,46.89,6.4,17.94
Ahmedabad,2015-03-28,321.0,122.41,158.25,27.89,10.05,142.36,5.86,38.54
Ahmedabad,2015-03-29,372.0,122.41,237.76,21.8,10.05,96.28,4.99,39.77
Ahmedabad,2015-03-30,339.0,122.41,133.37,17.99,10.05,57.34,3.88,39.66
Ahmedabad,2015-03-31,339.0,122.41,133.3,20.0,10.05,51.58,6.52,59.03
Ahmedabad,2015-04-01,324.0,122.41,96.04,20.07,10.05,62.42,3.8,46.61
Ahmedabad,2015-04-02,222.0,122.41,77.69,18.87,10.05,100.48,5.24,27.14
Ahmedabad,2015-04-03,169.0,122.41,53.07,13.82,10.05,40.36,4.17,21.76
Ahmedabad,2015-04-04,220.0,122.41,63.11,15.5,10.05,38.21,5.63,4.72
Ahmedabad,2015-04-17,774.0,122.41,106.68,46.38,10.05,31.56,19.91,48.49
Ahmedabad,2015-04-18,285.0,122.41,109.48,20.27,10.05,46.6,4.3,31.34
Ahmedabad,2015-04-19,321.0,122.41,126.04,20.18,10.05,79.56,6.99,28.71
Ahmedabad,2015-04-20,358.0,122.41,71.22,21.32,10.05,50.09,16.73,28.39
Ahmedabad,2015-04-21,357.0,122.41,97.87,17.96,10.05,13.85,6.3,34.16
Ahmedabad,2015-04-22,189.0,122.41,63.38,13.28,10.05,24.79,3.44,43.62
Ahmedabad,2015-05-05,227.0,122.41,83.99,0.08,10.05,34.06,2.73,69.57
Ahmedabad,2015-05-06,120.0,122.41,65.11,4.58,10.05,22.27,3.14,32.26
Ahmedabad,2015-05-07,158.0,122.41,51.03,20.47,10.05,15.5,6.24,31.44
Ahmedabad,2015-05-08,177.0,122.41,38.73,19.28,10.05,20.13,8.0,25.7
Ahmedabad,2015-05-09,201.0,122.41,61.12,17.82,10.05,39.69,9.94,25.9
Ahmedabad,2015-05-10,211.0,122.41,58.44,17.24,10.05,54.69,10.68,18.89
Ahmedabad,2015-05-11,221.0,122.41,61.49,16.69,10.05,42.66,11.44,18.2
Ahmedabad,2015-05-12,233.0,122.41,65.39,16.08,10.05,27.96,12.3,22.35
Ahmedabad,2015-05-13,481.0,122.41,100.92,18.9,10.05,31.9,20.42,22.84
Ahmedabad,2015-05-14,352.0,122.41,97.48,30.02,10.05,36.05,5.31,16.26
Ahmedabad,2015-05-15,327.0,122.41,129.27,28.33,10.05,70.13,14.28,25.4
Ahmedabad,2015-05-16,577.0,122.41,129.58,28.79,10.05,17.66,21.23,34.42
Ahmedabad,2015-05-17,411.0,122.41,100.57,18.79,10.05,38.76,7.56,38.83
Ahmedabad,2015-05-18,212.0,122.41,130.34,17.43,10.05,52.07,7.14,29.05
Ahmedabad,2015-05-19,280.0,122.41,53.24,15.86,10.05,36.23,8.05,21.58
Ahmedabad,2015-05-20,162.0,122.41,42.0,18.16,10.05,17.0,10.44,25.5
Ahmedabad,2015-05-28,106.0,122.41,60.86,16.61,10.05,14.91,5.27,41.19
Ahmedabad,2015-05-29,231.0,122.41,51.93,17.87,10.05,15.33,13.71,12.88
Ahmedabad,2015-05-30,327.0,122.41,77.87,17.12,10.05,46.82,6.67,16.67
Ahmedabad,2015-05-31,174.0,122.41,57.59,15.47,10.05,41.68,5.6,25.51
Ahmedabad,2015-06-01,185.0,122.41,77.22,15.47,10.05,71.97,7.02,9.56
Ahmedabad,2015-06-02,179.0,122.41,45.29,12.74,10.05,18.64,7.25,6.32
Ahmedabad,2015-06-03,211.0,122.41,103.78,13.9,10.05,7.76,6.36,15.27
Ahmedabad,2015-06-04,192.0,122.41,25.14,18.73,10.05,38.05,6.01,38.52
Ahmedabad,2015-06-05,310.0,122.41,87.03,17.88,10.05,23.84,8.05,48.22
Ahmedabad,2015-06-06,223.0,122.41,89.6,19.84,10.05,48.05,6.59,44.78
Ahmedabad,2015-06-07,192.0,122.41,80.69,16.07,10.05,39.85,6.86,32.65
Ahmedabad,2015-06-08,191.0,122.41,44.75,16.53,10.05,9.89,7.76,8.07
Ahmedabad,2015-06-09,184.0,122.41,38.11,11.62,10.05,3.13,7.41,6.69
Ahmedabad,2015-06-10,220.0,122.41,45.5,15.59,10.05,0.76,8.56,3.82
Ahmedabad,2015-06-11,215.0,122.41,36.98,11.52,10.05,0.52,8.21,5.17
Ahmedabad,2015-06-12,226.0,122.41,43.58,13.33,10.05,1.02,8.26,7.56
Ahmedabad,2015-06-13,251.0,122.41,45.49,14.91,10.05,0.81,9.63,2.94
Ahmedabad,2015-06-14,216.0,122.41,38.06,18.57,10.05,1.05,8.67,4.63
Ahmedabad,2015-06-15,237.0,122.41,45.41,20.55,10.05,0.74,9.35,4.5
Ahmedabad,2015-06-16,198.0,122.41,37.71,16.26,10.05,0.87,8.54,4.6
Ahmedabad,2015-06-17,195.0,122.41,32.37,14.36,10.05,2.17,7.53,12.17
Ahmedabad,2015-06-18,187.0,122.41,34.74,13.51,10.05,4.11,7.59,12.22
Ahmedabad,2015-06-19,181.0,122.41,32.56,13.91,10.05,4.04,7.34,11.85
Ahmedabad,2015-06-20,179.0,122.41,29.28,11.68,10.05,4.01,7.55,12.64
Ahmedabad,2015-06-21,188.0,122.41,20.46,10.61,10.05,5.62,7.15,12.7
Ahmedabad,2015-06-22,190.0,122.41,26.07,11.07,10.05,4.1,7.99,10.57
Ahmedabad,2015-06-23,185.0,122.41,21.43,11.16,10.05,4.99,7.45,7.38
Ahmedabad,2015-06-24,189.0,122.41,11.91,10.1,10.05,10.86,7.34,5.47
Ahmedabad,2015-06-25,196.0,122.41,57.75,9.68,10.05,12.28,8.68,3.06
Ahmedabad,2015-06-26,201.0,122.41,66.39,12.79,10.05,11.09,8.58,4.96
Ahmedabad,2015-06-27,231.0,122.41,62.61,9.83,10.05,12.31,9.15,6.44
Ahmedabad,2015-06-28,196.0,122.41,47.5,9.53,10.05,13.91,8.07,7.28
